code,web_name,expected_points
448047,Enzo,3.9346646571213264
116535,A.Becker,3.9270270270270267
215379,Anderson,3.9191408325952177
467779,Wieffer,3.904827586206897
169528,Robinson,3.900526315789474
247412,Strand Larsen,3.8947848761408084
244858,Carvalho,3.884736842105263
106468,Alex Moreno,3.876912325285897
232859,Spence,3.86875
465351,Matheus N.,3.868557874762809
141746,B.Fernandes,3.8677966101694916
91889,Füllkrug,3.8643478260869566
122798,Robertson,3.85500387897595
39155,Lallana,3.8520689655172418
463067,Georginio,3.846750483558994
198869,White,3.8452449567723344
432830,Collins,3.8426315789473686
200641,Nelson,3.8347204968944104
477064,Lewis,3.829009287925697
80146,J.Ayew,3.82301775147929
159533,Adama,3.815379609544469
466075,Calafiori,3.805537459283388
219279,Sugawara,3.799677419354839
119471,Schär,3.797730061349693
195384,Merino,3.7947368421052636
176297,Rashford,3.787692307692308
91651,Kovačić,3.7868885047536733
101668,Vardy,3.759671772428884
126184,Aké,3.74609756097561
201658,Tavernier,3.729894551845343
209046,Hudson-Odoi,3.7202431610942255
196411,Chaplin,3.6851239669421485
544877,Kerkez,3.6833414783139893
224967,Mykolenko,3.667272727272727
447203,Darwin,3.6524339360222533
165809,Bernardo,3.6463706563706566
486385,Beto,3.606161137440758
247348,Muñoz,3.605306388526728
172453,Szmodics,3.5943521594684387
489706,Devenny,3.586315789473684
215439,Souček,3.555411013567438
155511,Armstrong,3.5512244897959184
166477,Castagne,3.536875
491279,Van de Ven,3.4989847715736038
179268,Cucurella,3.4940959409594097
17761,Tarkowski,3.464245810055866
492777,Bradley,3.4584415584415584
88248,Ortega Moreno,3.456666666666667
111234,Pickford,3.4555555555555557
184029,Ødegaard,3.4423387096774194
231057,Bellegarde,3.4194805194805196
245419,Daka,3.413960396039604
219249,O'Riley,3.4086842105263155
200720,Kelleher,3.4
167199,Thomas,3.3775160599571734
180974,Joelinton,3.376
483081,R.Gomes,3.375409836065574
154561,Raya,3.373684210526316
57531,Antonio,3.363956834532374
493105,Garnacho,3.361228939544103
209036,Guéhi,3.36
214285,Tsimikas,3.3516129032258064
202993,Bentancur,3.345255474452555
209244,Foden,3.326448598130842
109533,Emerson,3.308889711324945
487117,Ferguson,3.303087557603687
510500,Jota Silva,3.2950847457627117
458249,Zirkzee,3.2784415584415583
460842,Kudus,3.2763793103448275
109745,Arrizabalaga,3.2471428571428573
200402,N.Semedo,3.2423295454545453
214590,Wan-Bissaka,3.235684485006519
231899,Taylor,3.235311572700297
115556,Davies,3.2333333333333334
244723,Mitchell,3.2301934703748487
451340,Mitoma,3.2264507772020727
204480,Rice,3.2225058004640372
437499,Lacroix,3.21625
243016,Mac Allister,3.2160032493907393
78916,Burn,3.2100000000000004
221632,Romero,3.193634496919918
204580,Janelt,3.192142857142857
449871,Onana,3.190661521499449
247632,Neto,3.188546255506608
101188,Digne,3.171052631578948
77794,Trippier,3.168490566037736
111773,Krafth,3.16
54469,Smith,3.1411627906976745
224024,L.Paquetá,3.137868852459017
227127,Bissouma,3.114848143982002
232413,Eze,3.1049640287769784
